Date	Time	CongHt
10/1/15	0:00	5.42
10/1/15	0:15	5.45
10/1/15	0:30	5.48
10/1/15	0:45	5.51
10/1/15	1:00	5.54
10/1/15	1:15	5.58
10/1/15	1:30	5.62
10/1/15	1:45	5.66
10/1/15	2:00	5.69
10/1/15	2:15	5.74
10/1/15	2:30	5.78
10/1/15	2:45	5.82
10/1/15	3:00	5.85
10/1/15	3:15	5.89
10/1/15	3:30	5.92
10/1/15	3:45	5.95
10/1/15	4:00	5.99
10/1/15	4:15	6.02
10/1/15	4:30	6.05
10/1/15	4:45	6.07
10/1/15	5:00	6.09
10/1/15	5:15	6.11
10/1/15	5:30	6.14
10/1/15	5:45	6.16
10/1/15	6:00	6.17
10/1/15	6:15	6.18
10/1/15	6:30	6.19
10/1/15	6:45	6.19
10/1/15	7:00	6.19
10/1/15	7:15	6.18
10/1/15	7:30	6.19
10/1/15	7:45	6.18
10/1/15	8:00	6.18
10/1/15	8:15	6.17
10/1/15	8:30	6.17
10/1/15	8:45	6.16
10/1/15	9:00	6.15
10/1/15	9:15	6.14
10/1/15	9:30	6.13
10/1/15	9:45	6.12
10/1/15	10:00	6.11
10/1/15	10:15	6.09
10/1/15	10:30	6.07
10/1/15	10:45	6.06
10/1/15	11:00	6.05
10/1/15	11:15	6.03
10/1/15	11:30	6.02
10/1/15	11:45	5.99
10/1/15	12:00	5.98
10/1/15	12:15	5.96
10/1/15	12:30	5.94
10/1/15	12:45	5.93
10/1/15	13:00	5.9
10/1/15	13:15	5.88
10/1/15	13:30	5.86
10/1/15	13:45	5.84
10/1/15	14:00	5.82
10/1/15	14:15	5.8
10/1/15	14:30	5.78
10/1/15	14:45	5.75
10/1/15	15:00	5.74
10/1/15	15:15	5.72
10/1/15	15:30	5.7
10/1/15	15:45	5.69
10/1/15	16:00	5.66
10/1/15	16:15	5.65
10/1/15	16:30	5.63
10/1/15	16:45	5.62
10/1/15	17:00	5.6
10/1/15	17:15	5.59
10/1/15	17:30	5.57
10/1/15	17:45	5.56
10/1/15	18:00	5.55
10/1/15	18:15	5.55
